ID,Host Type,Name with Owner,Description,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Homepage URL,Size,Stars Count,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,SCM type,Pull requests enabled,Logo URL,Keywords
3109714,GitHub,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,FALSE,2015-11-07 01:19:20 UTC,2020-01-12 09:44:27 UTC,2020-01-12 10:23:32 UTC,https://tensorflow.org,471757,139939,C++,TRUE,FALSE,FALSE,79449,,3248,master,8523,45717250,,Apache-2.0,783,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-12-10 10:22:11 UTC,15,GitHub,,git,,
815940,GitHub,keras-team/keras,Deep Learning for humans,FALSE,2015-03-28 00:35:42 UTC,2019-12-17 06:40:51 UTC,2019-12-14 14:16:52 UTC,http://keras.io/,13334,45995,Python,TRUE,TRUE,FALSE,17437,,2742,master,2080,33015583,,Other,718,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-09-17 17:47:09 UTC,18,GitHub,,git,,
845050,GitHub,josephmisiti/awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",FALSE,2014-07-15 19:11:19 UTC,2019-12-26 17:04:47 UTC,2019-12-22 21:48:19 UTC,,1952,43027,Python,TRUE,FALSE,TRUE,10876,,4,master,3314,21872392,,Other,236,README.md,,,,,,,,2017-05-13 05:02:40 UTC,9,GitHub,,git,,
851991,GitHub,opencv/opencv,Open Source Computer Vision Library,FALSE,2012-07-19 09:40:17 UTC,2019-12-31 11:17:19 UTC,2019-12-31 10:17:46 UTC,https://opencv.org,477763,41126,C++,TRUE,TRUE,FALSE,31410,,1772,master,2576,5108051,,Other,465,,,,,,,,,2017-11-24 18:52:17 UTC,11,GitHub,,git,,
845049,GitHub,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,FALSE,2010-08-17 09:43:38 UTC,2020-01-02 17:27:28 UTC,2020-01-02 17:03:02 UTC,https://scikit-learn.org,114615,38756,Python,TRUE,TRUE,FALSE,18965,,2047,master,2259,843222,,Other,764,README.rst,,CONTRIBUTING.md,COPYING,,,,,2019-12-03 10:13:45 UTC,20,GitHub,,git,,
18883757,GitHub,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,FALSE,2016-08-13 05:26:41 UTC,2019-12-30 17:34:23 UTC,2019-12-30 17:07:10 UTC,https://pytorch.org,258137,35004,C++,TRUE,TRUE,FALSE,8758,,4755,master,1394,65600975,,Other,347,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-05 21:50:02 UTC,12,GitHub,,git,,
851994,GitHub,BVLC/caffe,Caffe: a fast open framework for deep learning.,FALSE,2013-09-12 18:39:48 UTC,2019-12-20 16:28:13 UTC,2019-12-12 09:30:11 UTC,http://caffe.berkeleyvision.org/,76158,29655,C++,TRUE,TRUE,TRUE,17906,,1085,master,2230,12791642,,Other,132,,,,,,,,,2017-11-24 18:50:38 UTC,10,GitHub,,git,,
36665917,GitHub,imhuay/Algorithm_Interview_Notes-Chinese,2018/2019/æ ¡æ‹›/æ˜¥æ‹›/ç§‹æ‹›/ç®—æ³•/æœºå™¨å­¦ä¹ (Machine Learning)/æ·±åº¦å­¦ä¹ (Deep Learning)/è‡ªç„¶è¯­è¨€å¤„ç†(NLP)/C/C++/Python/é¢è¯•ç¬”è®°,FALSE,2018-06-06 12:53:14 UTC,2019-10-28 01:40:57 UTC,2019-07-23 14:45:28 UTC,,233283,27541,Python,TRUE,TRUE,FALSE,8542,,27,master,1504,136328388,,,8,README.md,,,,,,,,2019-04-26 19:43:09 UTC,7,GitHub,,git,,
16759661,GitHub,exacity/deeplearningbook-chinese,Deep Learning Book Chinese Translation,FALSE,2016-12-07 11:46:51 UTC,2019-12-30 14:01:34 UTC,2019-12-03 04:25:44 UTC,https://exacity.github.io/deeplearningbook-chinese,8908,27499,TeX,TRUE,TRUE,TRUE,8038,,45,master,2218,75830968,,,4,README.md,,,,,,,,2016-12-14 12:47:05 UTC,8,GitHub,,git,,
36682071,GitHub,Avik-Jain/100-Days-Of-ML-Code,100 Days of ML Coding,FALSE,2018-07-05 09:11:43 UTC,2019-12-25 18:32:08 UTC,2019-10-20 09:33:50 UTC,,10970,27439,Python,TRUE,TRUE,TRUE,6804,,51,master,2290,139824423,,MIT,7,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2018-09-28 10:52:24 UTC,8,GitHub,,git,,
14585395,GitHub,floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,FALSE,2016-10-14 11:49:48 UTC,2019-12-25 08:35:24 UTC,2019-11-27 15:21:37 UTC,,3626,24899,Python,TRUE,TRUE,FALSE,5704,,74,master,2146,70905478,,,16,README.md,,,,,,,,2017-05-16 12:37:07 UTC,8,GitHub,,git,,
14276479,GitHub,ZuzooVn/machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer.,FALSE,2016-10-09 21:20:25 UTC,2019-12-26 07:36:25 UTC,2019-12-19 04:50:25 UTC,https://www.codementor.io/zuzoovn/how-i-plan-to-become-a-machine-learning-engineer-a4metbcuk,402,23128,,TRUE,TRUE,TRUE,5405,,14,master,1579,70431106,,CC-BY-SA-4.0,12,README.md,,,LICENSE.txt,,,,,2016-11-24 17:29:31 UTC,8,GitHub,,git,,
352491,GitHub,pandas-dev/pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",FALSE,2010-08-24 01:37:33 UTC,2019-12-28 22:54:22 UTC,2019-12-28 22:50:34 UTC,https://pandas.pydata.org,175840,22839,Python,TRUE,TRUE,TRUE,9111,,3288,master,1035,858127,,BSD-3-Clause,868,README.md,,.github/CONTRIBUTING.md,LICENSE,.github/CODE_OF_CONDUCT.md,,,,2019-10-25 11:48:51 UTC,22,GitHub,,git,,
10682415,GitHub,terryum/awesome-deep-learning-papers,The most cited deep learning papers,FALSE,2016-06-03 06:48:30 UTC,2019-11-17 10:30:53 UTC,2019-10-24 20:21:54 UTC,,147,20082,TeX,TRUE,TRUE,FALSE,3898,,32,master,2009,60325062,,,5,README.md,,Contributing.md,,,,,,2016-11-24 17:18:55 UTC,7,GitHub,,git,,
5239812,GitHub,ageron/handson-ml,A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in python using Scikit-Learn and TensorFlow.,FALSE,2016-02-16 19:48:39 UTC,2019-12-26 09:09:13 UTC,2019-12-18 14:06:29 UTC,,84956,18253,Jupyter Notebook,TRUE,TRUE,FALSE,9781,,84,master,1009,51863547,,Apache-2.0,2,README.md,,,LICENSE,,,,,2017-06-30 06:40:20 UTC,7,GitHub,,git,,
2248835,GitHub,apache/incubator-mxnet,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",FALSE,2015-04-30 16:21:15 UTC,2020-01-08 02:53:43 UTC,2020-01-08 02:49:17 UTC,https://mxnet.apache.org,77054,18251,Python,TRUE,FALSE,FALSE,6494,,1633,master,1167,34864402,,Apache-2.0,623,README.md,,,LICENSE,,,,,2019-05-03 23:07:35 UTC,12,GitHub,,git,,
845134,GitHub,donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",FALSE,2015-01-23 19:38:29 UTC,2019-12-31 08:25:26 UTC,2019-10-25 10:21:39 UTC,,49025,17812,Python,TRUE,TRUE,FALSE,5484,,11,master,1535,29749635,,Other,6,README.md,,,LICENSE,,,,,2017-11-24 18:52:58 UTC,8,GitHub,,git,,
37263400,GitHub,GokuMohandas/practicalAI,ğŸ“š A practical approach to learning and using machine learning.,FALSE,2018-11-05 03:44:27 UTC,2019-04-28 01:49:42 UTC,2019-04-16 14:21:54 UTC,,15657,17493,Jupyter Notebook,TRUE,TRUE,FALSE,2874,,5,master,870,156157055,,MIT,1,README.md,,,LICENSE,,,,,2018-12-01 21:26:49 UTC,4,GitHub,,git,,
28428142,GitHub,fastai/fastai,"The fastai deep learning library, plus lessons and tutorials",FALSE,2017-09-09 17:43:36 UTC,2019-12-28 09:56:57 UTC,2019-12-28 09:57:29 UTC,http://docs.fast.ai,446113,16754,Jupyter Notebook,TRUE,TRUE,TRUE,5926,,2,master,635,102973646,,Apache-2.0,472,README.md,CHANGES.md,CONTRIBUTING.md,LICENSE,CODE-OF-CONDUCT.md,,,,2019-10-17 17:19:43 UTC,12,GitHub,,git,,
2891338,GitHub,pjreddie/darknet,Convolutional Neural Networks,FALSE,2014-04-11 07:59:16 UTC,2019-12-28 06:39:12 UTC,2019-12-27 09:54:52 UTC,http://pjreddie.com/darknet/,6273,15899,C,TRUE,TRUE,FALSE,10100,,1489,master,865,18666758,,Other,4,README.md,,,LICENSE,,,,,2017-06-24 16:36:41 UTC,8,GitHub,,git,,
